"","Estimator","Rho_svy","fn_svy","fp_svy","Rho_sen","fn_sen","fp_sen","Theta","ThetaHat","SE","RB","CV","RRMSE","fn_sen_label","fp_sen_label"
"1","Survey",1,0,0,1,0,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"2","LP",1,0,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"3","HUG_GLM",1,0,0,1,0,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308983,0.0180725171798122,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"4","HUG_XGB",1,0,0,1,0,0,331839,332193.523327436,6016.83706863984,0.00106835943766691,0.0181317960476009,0.0180725150303086,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"5","Survey",1,0.3,0,1,0,0,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"6","LP",1,0.3,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"7","HUG_GLM",1,0.3,0,1,0,0,331839,332193.506493795,6016.8387886655,0.00106830870932811,0.0181318012309147,0.0180725171798798,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"8","HUG_XGB",1,0.3,0,1,0,0,331839,332227.291571908,6017.11235057591,0.00117012036532136,0.0181326256123479,0.0180796397129738,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"9","Survey",1,0.6,0,1,0,0,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"10","LP",1,0.6,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"11","HUG_GLM",1,0.6,0,1,0,0,331839,332193.506494084,6016.83878867093,0.00106830871020077,0.0181318012309311,0.0180725171799477,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
