"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","probabilities","W1Day1","W1Day2","W1Day3","W1Day4","W1Day5","W1Day6","W1Day7","W2Day1","W2Day2","W2Day3","W2Day4","W2Day5","W2Day6","W2Day7","W3Day1","W3Day2","W3Day3","W3Day4","W3Day5","W3Day6","W3Day7","W4Day1","W4Day2","W4Day3","W4Day4","W4Day5","W4Day6","W4Day7","W5Day1","W5Day2","W5Day3","W5Day4","W5Day5","W5Day6","W5Day7","W6Day1","W6Day2","W6Day3","W6Day4","W6Day5","W6Day6","W6Day7","W7Day1","W7Day2","W7Day3","W7Day4","W7Day5","W7Day6","W7Day7","W8Day1","W8Day2","W8Day3","W8Day4","W8Day5","W8Day6","W8Day7","W9Day1","W9Day2","W9Day3","W9Day4","W9Day5","W9Day6","W9Day7","W10Day1","W10Day2","W10Day3","W10Day4","W10Day5","W10Day6","W10Day7","W11Day1","W11Day2","W11Day3","W11Day4","W11Day5","W11Day6","W11Day7","W12Day1","W12Day2","W12Day3","W12Day4","W12Day5","W12Day6","W12Day7","W13Day1","W13Day2","W13Day3","W13Day4","W13Day5","W13Day6","W13Day7"
"1",1,1.15264309337363,1.92305690608919,1.1724078594707,0.726514474488795,1.33540075877681,1.99706704542041,1.59341200860217,0,0,2.23388553860868,0.0627648755488532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2",2,1.12948425114155,0.389951351564378,0.207464486826211,0.801075419876724,1.57219474995509,0.920262464787811,0.669439714867622,1,1,2.22374255410576,0.320709036467144,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"3",3,0.147980457171798,0.600291428621858,1.72970876051113,0.0938690737821162,1.44657343113795,1.71382296551019,1.40650764340535,0,1,0.339954259625119,0.495678597540406,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0
"4",4,0.907731246668845,0.764657909981906,1.41606417158619,0.577426226809621,0.865396857261658,0.393934490159154,0.651350336614996,0,0,2.0085721586075,0.725354956540281,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
"5",5,0.746558525133878,0.239368309732527,0.889621462672949,1.87095148256049,0.238370049279183,1.04800123814493,1.6630124184303,0,0,1.41642152956714,0.891862606756533,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
"6",6,0.662634906824678,1.97821420943365,1.61072683334351,1.24062426621094,1.4156801244244,1.69658089708537,0.638172584585845,0,1,1.21851273733546,0.0170498173401613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,1.89526004623622,0.173822226934135,1.21916551236063,1.68958247872069,1.29134460818022,1.084272836335,1.80043058376759,1,0,3.92950487284449,0.248311352812566,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"8",8,0.562234621029347,1.89016068913043,1.58393583586439,1.99823394138366,0.729057749733329,1.59741709893569,0.688764057587832,0,0,0.980184516957847,0.294416297014554,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9",9,0.490808092989028,1.3300839420408,1.58914283057675,1.8020664206706,0.91897181654349,0.371954828500748,1.51526296883821,0,0,1.02228931775076,0.759144776125691,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"10",10,0.292087242007256,1.26645792834461,0.429499155376107,1.97781080007553,0.361678194254637,0.79776260536164,1.0888545033522,0,0,0.541712588444952,0.875027572472717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
